varietal,Clean Varietal
,
"70% Carricante, 30% Catarratto",Carricante / Catarratto
Aglianico,Aglianico
Albarino,Albarino
Aligote,Aligote
Amber (White Blend),Orange Wine
Arneis,Arneis
Assyrtiko,Assyrtiko
Assyrtiko & Athiri,Assyrtiko
Barbaresco,Barbaresco
Barbaresco Riserva,Barbaresco
Barbera,Barbera
Barbera Blend,Barbera
Barolo,Barolo
Barolo DOCG,Barolo
Barolo Riserva,Barolo
Blanc de Blanc,Blanc de Blanc
Blanc de Blancs,Blanc de Blanc
Blanc de Noir,Blanc de Noir
Blend,Blend
Blend / Other,Blend
Bordeaux Blend,Bordeaux Blend
Bordeaux Blend (Cab Sauv/Merlot/Petit Verdot/Cab Franc),Bordeaux Blend
Bordeaux Blend (Merlot/Cab Franc),Bordeaux Blend
Bordeaux Blend (Merlot/Cab Franc/Cab Sauv),Bordeaux Blend
Bordeaux Blend Merlot,Bordeaux Blend
Brunello di Montalcino,Brunello di Montalcino
Brunello Riserva,Brunello di Montalcino
Cab Franc/Cab Sauv/Petit Verdot,Blend
Cab Sauv/Cab Franc,Blend
Cab/Shiraz/Malbec/Merlot,Blend
Cabernet,Cabernet
Cabernet Blend,Cabernet Blend
Cabernet Franc,Cabernet Franc
Cabernet Malbec,Cabernet Blend
Cabernet Merlot,Cabernet Blend
Cabernet Sangiovese,Cabernet Blend
Cabernet Sauvignon,Cabernet Blend
Cabernet Sauvignon Merlot,Cabernet Blend
"Cabernet Sauvignon, Merlot, Syrah, Grenache etc.",Cabernet Blend
Cabernet Sauvignon/Shiraz,Cabernet Shiraz
Cabernet Shiraz,Cabernet Shiraz
Cabernet-Shiraz,Cabernet Shiraz
Caricante,Carricante
Carricante,Carricante
Champagne,Champagne
Champagne Blend,Champagne
Chardonnay,Chardonnay
Chardonnay (Skin-Contact),Chardonnay
Chardonnay / Chablis Styles,Chardonnay
Chardonnay Champagne,Sparkling
Chardonnay Pinot Noir,Sparkling
Chardonnay-Pinot Noir,Sparkling
Chardonnay/Viognier/Sauvignon Blanc,White Blend
Chenin Blanc,Chenin Blanc
Chianti,Chianti
Chianti (Sangiovese),Chianti
Chianti Classico,Chianti
Chianti Classico Riserva,Chianti
Chianti Gran Selezione,Chianti
Chianti Riserva,Chianti
Chinato,Chinato (Barolo)
Cinsault,Cinsault
"Cinsault, Grenache, Syrah, Mourvedre, Viognier",Cinsault
Corvina Blend,Corvina Blend
"Corvina, Rondinella, Molinara",Corvina Blend
Corvina/Corvinone/Rondinella,Corvina Blend
Dessert Wine (Vin de Paille),Dessert Wine
Dolcetto,Dolcetto
Fiano,Fiano
Field Blend,Field Blend
Field Blend (Blanc),Field Blend
Field Blend (Rosé),Field Blend
Field Blend (Rouge),Field Blend
Fortified Chardonnay,Fortified
Fume Blanc,Fume Blanc
Gamay,Gamay
Gamay Blend,Gamay Blend
Gamay/Pinot Noir,Gamay Blend
Garganega,Garganega
Garganega/Other White Blend,Garganega
Gavi,Gavi
Gewurztraminer,Gewurztraminer
Gewurztraminer (Skin-Contact),Gewurztraminer
Glera,Glera
Graciano,Graciano
Graciano Rosa,Graciano Rosa
Grappa,Grappa
Greco,Greco
Grenache,Grenache
Grenache Blanc,Grenache Blanc
Grenache Blend,Grenache Blend
Grenache Mataro,Grenache Blend
Grenache Mourvèdre Shiraz,GSM
Grenache Shiraz,GSM
Grenache Shiraz Mourvedre,GSM
Grenache/Cinsault,Grenache Blend
Grenache/Cinsault/Role/Rolle,Grenache Blend
Grenache/Cinsault/Syrah,Grenache Blend
Grenache/Mataro,Grenache Blend
Grillo (Skin Contact),Grillo
Gruner Veltliner,Gruner Veltliner
GSM,GSM
GSM Blend,GSM
Iced Riesling,Ice Wine
Late Harvest Blend,Late Harvest Blend
Malbec,Malbec
Malbec & Cabernet Franc,Malbec Blend
Malbec Rosa,Malbec Blend
Malbec/Merlot/Tannat,Malbec Blend
Malbec/Petit Verdot,Malbec Blend
Malbec/Petit Verdot Blend,Malbec Blend
Mataro,Mataro
Maturana Tinta,Maturana Tinta
Mencia,Mencia
Merlot,Merlot
Merlot Blend,Merlot Blend
Merlot Petit Verdot Malbec,Merlot Blend
"Merlot, Xinomavro & Syrah",Merlot Blend
Merlot/Syrah/Sangiovese,Merlot Blend
Montepulciano,Montepulciano
Moscato,Moscato
Mourvèdre,Mourvedre
Mourvèdre Blend,Mourvedre
Muscat,Muscat
Muskateller & Grüner Veltliner,Muscat
Nebbiolo,Nebbiolo
Nebbiolo (Sparkling),Sparkling
Nebbiolo Rosé,Rose
Nebbiolo/Barbera,Nebbiolo Blend
Nerello Mascalese,Nerello Mascalese
Nero d'Avola,Nero d'Avola
Nero d'Avola/Shiraz,Nero d'Avola Blend
Nero dAvola,Nero d'Avola
Nero dAvola Blend,Nero d'Avola Blend
Orange Wine,Orange Wine
Pecorino,Pecorino
Pet Nat,Pet Nat
Pet Nat (Natural Sparkling),Pet Nat
Petite Sirah,Petite Sirah
Picpoul,Picpoul
Picpoul Blanc,Picpoul Blanc
Pinot Bianco,Pinot Bianco
Pinot Grigio,Pinot Grigio
Pinot Grigio Blend,Pinot Grigio Blend
Pinot Gris,Pinot Gris
Pinot Meunier,Pinot Meunier
Pinot Noir,Pinot Noir
Pinot Noir Blend,Pinot Noir Blend
Pinot Noir Champagne,Champagne
Pinot Noir Rosé,Rose
Pinot Noir Syrah,Pinot Noir Blend
Pinot Noir/Chardonnay,Sparkling
Pinot/Shiraz Blend,Pinot Noir Blend
Piquepoul,Piquepoul
Primitivo,Primitivo
Prosecco,Prosecco
Red Blend,Red Blend
Red Blend (Novello),Red Blend
Red Blend (Pinot Meunier/Pinot Noir),Red Blend
Red Rhône Blend,Red Blend
Rhône Red Blend,Red Blend
Rhône White Blend,Red Blend
Riesling,Riesling
Riesling (Pét-Nat),Pet Nat
Riesling Fortified,Fortified
Riesling Pet Nat,Pet Nat
Riesling Sparkling,Sparkling
Riesling/Semillon,Riesling
Roditis & Malagouzia,Roditis & Malagouzia
Rosato,Rosato
Rosé,Rose
Rosé (Grenache),Rose
Rosé (Grenache/Sangiovese),Rose
Rosé (Mencia & Shiraz),Rose
Rosé (Pét-Nat),Rose
Rosé (Sangiovese),Rose
Rosé Blend,Rose
Rosé Pet Nat,Rose
Rosé Sparkling,Rose
Roussanne,Roussanne
Roussanne Blend,Roussanne
Sangiovese,Sangiovese
Sangiovese Blend,Sangiovese Blend
Sangiovese Merlot,Sangiovese Blend
Sangiovese Rosé,Rose
Sauvignon Blanc,Sauvignon Blanc
Sauvignon Blanc / Semillon,Sauvignon Blanc / Semillon
Sauvignon Blanc Blend,White Blend
Sauvignon Blanc Semillon,White Blend
Savagnin Sous Voile,Savagnin
Semillon,Semillion
Semillon (Sweet),Dessert Wine
Semillon / Riesling Blend,White Blend
Semillon Sauvignon Blanc,White Blend
"Semillon, Riesling, Gewürztraminer",White Blend
Shiraz,Shiraz
Shiraz (375ml),Shiraz
Shiraz / Pinot Noir,Red Blend
Shiraz / Primitivo,Red Blend
Shiraz Blend,Red Blend
Shiraz Cabernet,Shiraz Cabernet
Shiraz Cabernet Blend,Shiraz Cabernet
Shiraz Mataro,Red Blend
Shiraz Montepulciano Blend,Red Blend
Shiraz Tempranillo,Red Blend
Shiraz Viognier,Red Blend
Shiraz/Malbec,Red Blend
Shiraz/Pinot Noir,Red Blend
Sparkling,Sparkling
Sparkling (Blanc de Blancs),Sparkling
Sparkling (Late Disgorged),Sparkling
Sparkling Blanc de Blancs,Sparkling
Sparkling Brut,Sparkling
Sparkling Rosé,Sparkling Rose
Sparkling Shiraz,Sparkling Red
Spritz (Prosecco-based),Spritz
Supertuscan Blend,Red Blend
Syrah,Shiraz
Syrah Carignan Grenache,Red Blend
Tawny Port,Port
Tempranillo,Tempranillo
Tempranillo Rosé,Rose
Tempranillo/Graciano,Red Blend
Timorasso,Timorasso
Touriga Blend,Red Blend
Verdelho,Verdelho
Verdicchio,Verdicchio
Vermentino,Vermentino
Vermentino Pet Nat,Pet Nat
Vermentino/Viognier/Fiano,White Blend
Viognier,Viognier
Viognier (Fortified),Fortified
Viognier (Skin Contact),Skin Contact
White Blend,White Blend
White Blend (Orange Wine),Orange Wine
"White Blend (Pinot Gris, Pinot Blanc, Riesling, Gewürztraminer)",White Blend
White Rhône Blend,White Blend
Xinomavro,Xinomavro
Zinfandel,Zinfandel
Zinfandel (Fortified),Fortified
